ts,temp,hum,press,lux,co2
1772753156,23.6408,45.68704,1011.351,6.688255,849.0
1772753456,23.61143,45.59853,1011.272,6.816418,865.0
1772753756,23.55802,45.72824,1011.216,6.892011,863.0
1772754056,23.55268,45.64737,1011.181,6.593303,880.0
1772754356,23.46189,45.69009,1011.2,6.784208,866.0
1772754656,23.48592,45.65957,1011.184,6.656495,877.0
1772754956,23.49393,45.65042,1011.145,6.614319,878.0
1772755256,23.49126,45.60921,1011.057,6.677656,877.0
1772755556,23.53399,45.53292,1011.081,6.624844,877.0
1772755856,23.54467,45.4612,1011.132,6.344911,875.0
1772756156,23.46723,45.56344,1011.124,6.656495,877.0
1772756456,23.41382,45.61837,1011.211,6.827179,877.0
1772756756,23.4699,45.46273,1011.137,6.624844,885.0
1772757056,23.4432,45.43374,1011.141,6.603805,888.0
1772757356,23.38178,45.51614,1011.161,6.603805,894.0
1772757656,23.35508,45.51308,1011.097,6.645933,891.0
1772757956,23.32837,45.48409,1011.049,6.656495,892.0
1772758256,23.30968,45.4902,1011.059,6.720128,894.0
1772758556,23.25093,45.5848,1011.028,6.773497,898.0
1772758856,23.21088,45.61532,1010.927,6.709491,900.0
1772759156,23.2269,45.54818,1010.912,6.55142,898.0
1772759456,23.13611,45.77707,1010.9,0.0,891.0
1772759756,22.99191,45.84878,1010.973,0.0,861.0
1772760056,22.83436,46.00748,1010.99,0.0,844.0
1772760356,22.77562,46.02121,1010.858,0.0,827.0
1772760656,22.66613,46.04562,1010.903,0.0,813.0
1772760956,22.5967,46.14939,1010.892,0.0,798.0
1772761256,22.48455,46.27298,1010.83,0.0,788.0
1772761556,22.43381,46.38743,1010.837,0.0,784.0
1772761856,22.29229,46.54307,1010.746,0.0,780.0
1772762156,22.19081,46.56748,1010.73,0.0,777.0
1772762456,22.10269,46.71397,1010.717,0.0,776.0
1772762756,22.00923,46.88487,1010.642,0.0,773.0
1772763056,21.99321,46.90166,1010.595,0.0,770.0
1772763356,21.9398,46.99931,1010.607,0.0,773.0
1772763656,21.8864,47.00542,1010.595,0.0,773.0
1772763956,21.79293,47.16106,1010.699,0.0,773.0
1772764256,21.81163,47.1458,1010.676,0.0,778.0
1772764556,21.71283,47.21294,1010.667,0.0,777.0
1772764856,21.65942,47.26177,1010.651,0.0,780.0
1772765156,21.64874,47.23583,1010.708,0.0,782.0
1772765456,21.61936,47.29839,1010.693,0.0,782.0
1772765756,21.56062,47.41283,1010.713,0.0,784.0
1772766056,21.53124,47.31975,1010.762,0.0,782.0
1772766356,21.53124,47.36248,1010.747,0.0,785.0
1772766656,21.46983,47.41131,1010.81,0.0,778.0
1772766956,21.35767,47.48455,1010.789,0.0,781.0
1772767256,21.27756,47.62493,1010.788,0.0,782.0
1772767556,21.10933,47.84619,1010.792,0.0,788.0
1772767856,21.21614,47.81567,1010.726,0.0,793.0
1772768156,21.03723,47.93927,1010.814,0.0,793.0
1772768456,21.04257,47.98962,1010.793,0.0,793.0
1772768756,20.98116,47.97894,1010.807,0.0,793.0
1772769056,20.97314,47.93469,1010.781,0.0,791.0
1772769356,20.99718,47.78668,1010.962,0.0,789.0
1772769656,20.95979,47.80804,1011.089,0.0,787.0
1772769956,21.02388,47.58831,1011.002,0.0,787.0
1772770256,20.99985,47.45708,1011.148,0.0,786.0
1772770556,20.93042,47.43267,1011.115,0.0,783.0
1772770856,20.97581,47.28313,1011.173,0.0,773.0
1772771156,20.97581,47.16564,1011.3,0.0,769.0
1772771456,20.95445,47.12291,1011.355,0.0,764.0
1772771756,21.01053,46.87114,1011.394,0.0,765.0
1772772056,20.90372,46.89861,1011.388,0.0,762.0
1772772356,20.94911,46.83604,1011.639,0.0,758.0
1772772656,20.9865,46.58884,1011.648,0.0,752.0
1772772956,20.97849,46.58884,1011.724,0.0,745.0
1772773256,20.99451,46.57969,1011.757,0.0,742.0
1772773556,20.93042,46.45304,1011.845,0.0,741.0
1772773856,20.91707,46.39048,1011.767,0.0,735.0
1772774156,20.92241,46.30045,1011.91,0.0,733.0
1772774456,20.8957,46.26078,1011.9,0.0,731.0
1772774756,20.94644,46.19669,1011.914,0.0,734.0
1772775056,20.93042,46.17228,1012.033,0.0,727.0
1772775356,20.91974,46.01663,1012.003,0.0,724.0
1772775656,20.8957,46.02426,1012.102,0.0,724.0
1772775956,20.8957,45.96933,1012.068,0.0,722.0
1772776256,20.89303,45.95407,1011.92,0.0,721.0
1772776556,20.90372,45.80911,1012.063,0.0,721.0
1772776856,20.87167,45.83657,1012.183,0.010837,714.0
1772777156,20.87701,45.68246,1012.227,0.129007,711.0
1772777456,20.85031,45.70535,1012.211,0.39309,704.0
1772777756,20.86633,45.52529,1012.376,0.851446,698.0
1772778056,20.8957,45.55886,1012.303,1.474229,694.0
1772778356,20.85031,45.4902,1012.401,2.12488,692.0
1772778656,20.88235,45.38796,1012.339,2.815589,685.0
1772778956,20.85031,45.36049,1012.328,3.583628,681.0
1772779256,20.82628,45.33303,1012.441,4.40353,680.0
1772779556,20.84497,45.21096,1012.482,5.336144,682.0
1772779856,20.9144,45.10262,1012.64,6.656495,676.0
1772780156,20.83696,45.14382,1012.583,6.892011,674.0
1772780456,20.8423,44.92561,1012.754,7.753817,665.0
1772780756,20.86366,44.8722,1012.752,8.465222,664.0
1772781056,20.85031,44.77607,1012.712,9.488341,653.0
1772781356,20.85031,44.62348,1012.755,10.293774,655.0
1772781656,20.84764,44.42512,1012.944,10.981578,652.0
1772781956,20.84764,44.40376,1012.939,11.959288,647.0
1772782256,20.85031,44.2771,1012.94,12.336226,649.0
1772782556,20.83429,44.1001,1013.06,12.921243,644.0
1772782856,20.85565,43.86511,1013.04,13.606468,640.0
1772783156,20.84764,43.83001,1012.987,13.8164,635.0
1772783456,20.8423,43.7995,1012.89,14.304509,631.0
1772783756,20.87701,43.55383,1012.915,14.625129,623.0
1772784056,20.87701,43.35851,1012.879,14.973033,615.0
1772784356,20.83963,43.10216,1012.935,15.605805,608.0
1772784656,20.85031,42.99077,1012.903,15.800465,601.0
1772784956,20.89036,42.91753,1013.135,16.218946,604.0
1772785256,20.87968,42.65049,1013.217,16.625076,613.0
1772785556,20.87701,42.86259,1013.117,16.831753,619.0
1772785856,20.87701,42.52689,1013.262,17.75625,627.0
1772786156,20.90372,42.28122,1013.133,18.124758,625.0
1772786456,20.93042,42.36972,1013.219,18.653242,627.0
1772786756,21.04257,42.44297,1013.31,17.371195,626.0
1772787056,21.07996,42.7512,1013.351,18.704359,637.0
1772787356,21.1841,42.81834,1013.354,19.729206,700.0
1772787656,21.34165,42.40482,1013.332,20.083086,672.0
1772788182,21.51255,42.54368,1013.364,19.621576,707.0
1772788742,21.76089,42.39567,1013.346,20.359619,716.0
1772789042,21.8864,42.2858,1013.503,20.83856,794.0
1772790115,22.27893,41.78531,1013.499,21.771294,767.0
1772790415,22.44984,41.51369,1013.575,22.314579,748.0
1772791280,22.48455,41.27413,1013.598,24.195728,694.0
1772791907,22.56466,40.99489,1013.73,24.699919,679.0
1772792478,22.73289,41.05745,1013.872,24.06312,785.0
1772793833,22.75692,40.6775,1013.935,23.283237,670.0
1772794133,22.97055,40.80873,1014.077,24.129328,795.0
1772795048,23.09339,40.50507,1014.097,28.321199,663.0
1772795348,23.10674,40.52491,1014.123,34.520962,716.0
1772795650,23.18418,40.40589,1014.094,32.712601,697.0
1772795948,23.10407,40.53101,1014.109,27.737621,663.0
1772797062,23.05066,40.61646,1013.911,30.408035,651.0
1772797759,23.11475,40.62257,1013.773,28.918179,660.0
1772798059,23.12009,40.64088,1013.665,28.918179,658.0
1772798771,23.22423,40.69429,1013.457,24.564396,665.0
1772799306,23.24292,40.88197,1013.26,24.429661,670.0
1772799606,23.40848,40.87434,1013.219,26.499054,676.0
1772799908,23.55535,40.33875,1013.155,28.998808,707.0
1772800206,23.53399,40.24414,1013.221,29.446709,681.0
1772800506,23.58473,40.03204,1013.091,30.493254,659.0
1772800808,23.62745,39.94965,1013.111,29.652807,643.0
1772801108,23.64347,39.9527,1013.075,28.43951,632.0
1772801408,23.68353,39.9054,1012.967,27.969475,628.0
1772802040,23.99863,39.86114,1012.977,27.62248,660.0
1772802340,24.04402,39.72839,1012.91,24.195728,685.0
1772802640,24.11345,39.67956,1012.848,22.162287,683.0
1772802940,24.18288,39.68719,1012.742,21.711767,687.0
1772803240,24.27634,39.61395,1012.593,21.741508,687.0
1772803540,24.34844,39.58648,1012.575,20.415384,714.0
1772803840,24.39384,39.66888,1012.606,19.567986,715.0
1772804550,24.44991,39.45068,1012.55,19.621576,715.0
1772804907,24.55939,39.47662,1012.529,21.475334,718.0
1772805947,24.6582,39.63836,1012.397,25.284756,721.0
1772806930,24.78103,39.71008,1012.347,30.535961,724.0
1772807232,24.84512,39.70398,1012.448,29.818827,719.0
1772807814,24.94926,39.64599,1012.355,30.966711,716.0
1772808114,25.01602,39.80621,1012.312,37.023476,783.0
1772808416,25.05341,39.78637,1012.239,38.491554,768.0
1772809635,25.2697,39.55138,1012.279,41.393677,748.0
1772809935,25.32578,39.84893,1012.283,35.467567,889.0
1772810642,25.35782,39.41253,1012.177,35.215618,735.0
1772811095,25.30709,39.47967,1012.138,33.413307,718.0
1772812024,25.27504,39.59106,1011.994,25.95583,710.0
1772812544,25.32044,39.65515,1011.922,24.632057,706.0
1772812844,25.30442,39.63073,1011.88,22.903212,702.0
1772813236,25.56344,39.63073,1011.857,0.801408,790.0
1772813536,25.76638,39.34996,1011.84,0.661942,806.0
1772813838,25.84115,39.1226,1011.889,20.527376,720.0
1772814736,25.67559,39.32097,1011.937,11.824734,708.0
1772815036,25.61151,39.43389,1011.916,10.934546,705.0
1772815338,25.60616,39.5285,1011.971,9.544098,709.0
1772815636,25.60349,39.48425,1011.961,8.813377,709.0
1772816307,25.64355,39.81842,1011.905,7.565956,745.0
1772816674,25.64088,39.84893,1011.897,7.067134,714.0
1772816974,25.66758,39.73144,1011.889,6.304183,705.0
1772817276,25.64889,39.65515,1011.914,5.131143,704.0
1772817680,25.60884,39.80163,1011.904,5.354231,706.0
1772817980,25.64622,39.78637,1011.969,4.467395,708.0
1772818282,25.56878,39.88861,1012.025,3.459326,707.0
1772818580,25.55543,39.97711,1012.052,2.944391,704.0
1772818880,25.60349,39.94659,1012.079,8.078947,703.0
1772819182,25.55543,39.88403,1012.217,8.214399,704.0
1772819482,25.56077,39.9054,1012.231,7.122533,701.0
1772819782,25.55276,39.94049,1012.209,10.101941,710.0
1772820082,25.55009,39.95422,1012.392,9.586088,713.0
1772820382,25.56878,40.01526,1012.415,10.264064,720.0
1772820682,25.56878,39.95575,1012.42,9.350114,727.0
1772820982,25.64355,39.8764,1012.476,9.254332,739.0
1772821282,25.59281,40.00458,1012.431,9.941947,739.0
1772821582,25.52872,40.41505,1012.406,10.308654,762.0
1772821882,25.51003,40.16022,1012.486,10.043515,762.0
1772822182,25.49401,40.28839,1012.502,10.160647,754.0
1772822482,25.42992,40.2182,1012.576,10.043515,760.0
1772822782,25.40055,40.23957,1012.547,10.398322,754.0
1772823082,25.40055,40.27314,1012.585,6.263644,762.0
1772823714,25.55543,40.29755,1012.653,6.437246,812.0
1772824213,25.61952,40.56001,1012.7,6.762797,838.0
1772824695,25.71031,40.45014,1012.662,7.133652,842.0
