temp_delta_30m,temp_delta_3h,hum_delta_30m,hum_delta_3h,press_delta_30m,press_delta_3h,press_delta_24h,co2_delta_3h,hour_sin,hour_cos,temp_delta_6h,temp_delta_12h,hum_delta_6h,press_delta_1h,press_delta_6h,co2_delta_30m,co2_level_now,dew_point_now,dew_point_delta_3h,lux_delta_30m,day_night_flag,rolling_std_press_3h,label
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6883545756937541,-0.7253743710122875,0.0,0.0,0.0,0.0,0.0,0.0,459.0,8.178922251879769,0.0,0.0,1.0,0.0,COOLING
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7604059656000306,-0.6494480483301841,0.0,0.0,0.0,0.0,0.0,0.0,511.0,9.725939188529248,0.0,0.0,1.0,0.1220000000000141,COOLING
0.22430999999999912,0.0,3.3661399999999944,0.0,-0.2419999999999618,0.0,0.0,0.0,-0.7960020025346223,-0.6052939880428941,0.0,0.0,0.0,0.0,0.0,68.0,527.0,9.764232860555952,0.0,-3.0679779999999965,1.0,0.11455420841970919,COOLING
0.17892000000000152,0.0,-0.6408800000000028,0.0,-0.09699999999997999,0.0,0.0,0.0,-0.8549118706729466,-0.5187732581605214,0.0,0.0,0.0,-0.3410000000000082,0.0,10.0,521.0,9.629919864932049,0.0,-7.2578299999999984,1.0,0.12589554201797776,COOLING
0.07744000000000284,0.0,1.0483000000000047,0.0,-0.01599999999996271,0.0,0.0,0.0,-0.8767267557075077,-0.4809887689193877,0.0,0.0,0.0,-0.2579999999999245,0.0,20.0,547.0,10.243239044017708,0.0,-10.865349000000002,1.0,0.114455231422592,COOLING
0.0053400000000003445,0.0,2.5070600000000027,0.0,-0.027000000000043656,0.0,0.0,0.0,-0.8968727415326883,-0.44228869021900136,0.0,0.0,0.0,-0.26900000000000546,0.0,40.0,567.0,10.733577064220784,0.0,-15.829054000000003,1.0,0.10626486824073969,COOLING
-0.07744000000000284,0.0,3.7674500000000037,0.0,0.35200000000008913,0.0,0.0,0.0,-0.9153114791194471,-0.40274668985873735,0.0,0.0,0.0,0.25500000000010914,0.0,63.0,584.0,11.007315298382151,0.0,-12.065163,1.0,0.12859840986735321,COOLING
-0.024040000000002948,0.0,1.593039999999995,0.0,0.22899999999992815,0.0,0.0,0.0,-0.9320078692827984,-0.3624380382837018,0.0,0.0,0.0,0.21299999999996544,0.0,25.0,572.0,10.826756833129382,0.0,-12.362960000000001,1.0,0.13180003793627112,COOLING
-0.00800999999999874,0.0,1.667810000000003,0.0,0.3709999999999809,0.0,0.0,0.0,-0.9469301294951056,-0.3214394653031618,0.0,0.0,0.0,0.34399999999993724,0.0,28.0,595.0,11.339094719075149,0.0,-8.537296,1.0,0.15109264593063698,COOLING
0.2189600000000027,0.0,0.9491200000000006,0.0,0.16599999999993997,0.0,0.0,0.0,-0.9600498543859286,-0.27982901403099236,0.0,0.0,0.0,0.5180000000000291,0.0,11.0,595.0,11.549966722214506,0.0,-6.1483609999999995,1.0,0.17220223575784438,COOLING
-0.05072999999999794,0.0,1.6067700000000045,0.0,0.28700000000003456,0.0,0.0,0.0,-0.9713420698132613,-0.23768589232617343,0.0,0.0,0.0,0.5159999999999627,0.0,24.0,596.0,11.37030682311699,0.0,-4.242342999999999,1.0,0.19521105340605693,COOLING
-0.08011000000000124,0.0,-1.0513499999999993,0.0,0.35200000000008913,0.0,0.0,0.0,-0.9807852804032303,-0.19509032201612866,0.0,0.0,0.0,0.72300000000007,0.0,-25.0,570.0,10.883614477497842,0.0,-3.913741,1.0,0.23744898574923123,COOLING
-0.2456700000000005,0.0,-0.47608999999999924,0.0,0.35599999999999454,0.0,0.0,0.0,-0.9883615104677607,-0.15212338618991714,0.0,0.0,0.0,0.5219999999999345,0.0,-4.0,591.0,11.156513277459556,0.0,-4.024359,1.0,0.2732979170782214,COOLING
0.06942000000000093,0.0,-0.08850000000000335,0.0,0.3529999999999518,0.0,0.0,0.0,-0.9940563382223195,-0.10886687485196507,0.0,0.0,0.0,0.6399999999999864,0.0,-4.0,592.0,11.400811114837348,0.0,-3.452318,1.0,0.30525253011704717,COOLING
0.08277999999999963,0.0,1.0803399999999996,0.0,0.23899999999991905,0.0,0.0,0.0,-0.9978589232386035,-0.06540312923014273,0.0,0.0,0.0,0.5910000000000082,0.0,23.0,593.0,11.351954085772636,0.0,2.574223,1.0,0.3351627399073783,COOLING
-0.09079000000000192,0.1068099999999994,-0.2792400000000015,6.817729999999997,0.37800000000004275,0.9110000000000582,0.0,112.0,-0.9997620270799091,-0.021814885034560836,0.0,0.0,0.0,0.7340000000000373,0.0,-20.0,571.0,10.973032439308744,2.7941101874289753,6.626491000000001,1.0,0.3901066862624496,COOLING
