ts,temp,hum,press,lux,co2
1772317393,26.06012,51.99207,1010.895,6.848739,787.0
1772318937,25.55543,52.63295,1010.749,6.935486,788.0
1772320414,25.50202,52.68483,1010.745,6.957298,797.0
1772324849,25.32578,52.41779,1011.044,7.427355,841.0
1772327183,25.29374,51.69604,1011.114,7.189441,831.0
1772328605,25.09346,51.8822,1010.999,6.447566,838.0
1772331206,25.01068,51.45647,1010.737,7.624284,813.0
1772332406,24.97597,51.29168,1010.635,0.0,815.0
1772333607,24.47128,51.61211,1010.588,0.0,770.0
1772334808,23.93988,52.39185,1010.723,0.0,749.0
1772336008,23.7129,52.58564,1010.736,0.0,739.0
1772337208,23.48058,52.65736,1010.836,0.0,736.0
1772338408,23.34173,52.63905,1011.027,0.0,736.0
1772339608,23.17349,52.74739,1011.091,0.0,730.0
1772340808,23.03998,52.91066,1011.106,0.0,741.0
1772342008,22.85039,52.91676,1011.396,0.0,741.0
1772343208,22.73823,52.95338,1011.439,0.0,742.0
1772344408,22.63943,52.98695,1011.638,0.0,743.0
1772345608,22.50057,52.91829,1011.996,0.284584,747.0
1772346808,22.43381,52.80232,1011.935,2.761392,743.0
1772348008,22.27626,52.83436,1012.19,6.375582,742.0
1772349208,22.16945,52.8542,1012.287,10.671255,747.0
1772350408,22.19081,52.65583,1012.369,13.103322,746.0
1772351608,22.23087,52.39033,1012.497,15.370949,743.0
1772352808,22.27893,52.28504,1012.673,17.371195,745.0
1772354008,22.26825,52.25299,1012.696,18.500725,742.0
1772355208,22.31899,52.23163,1012.914,19.487865,732.0
1772356408,22.36172,52.27131,1012.966,20.415384,731.0
1772357608,22.33234,52.64668,1012.954,21.741508,738.0
1772358808,22.53796,52.84199,1012.813,22.223074,751.0
1772360009,22.80499,52.95644,1012.808,21.830984,813.0
1772362157,23.5874,52.65889,1012.831,23.060772,905.0
1772364600,24.31907,51.56939,1012.525,23.604929,957.0
1772366103,24.20157,52.50477,1012.282,23.315199,909.0
1772367303,24.54337,52.14313,1012.143,24.665964,900.0
1772368688,24.7837,52.0592,1011.862,22.903212,915.0
1772370036,24.94659,52.0882,1011.573,23.734905,901.0
1772373258,25.24033,52.00122,1011.095,29.487803,888.0
